Timestamp,Voltage,Current,Power,Energy
2026-01-01 00:00:00,222.48,1.99,442.76,0.4428
2026-01-01 00:01:00,219.31,1.95,426.86,0.8696
2026-01-01 00:02:00,223.24,2.61,582.68,1.4523
2026-01-01 00:03:00,227.62,1.46,332.7,1.785
2026-01-01 00:04:00,218.83,1.62,354.23,2.1392
2026-01-01 00:05:00,218.83,2.52,551.05,2.6903
2026-01-01 00:06:00,227.9,1.7,387.93,3.0782
2026-01-01 00:07:00,223.84,2.45,548.46,3.6267
2026-01-01 00:08:00,217.65,2.85,620.25,4.2469
2026-01-01 00:09:00,222.71,1.8,400.68,4.6476
2026-01-01 00:10:00,217.68,2.34,509.53,5.1571
2026-01-01 00:11:00,217.67,1.42,309.78,5.4669
2026-01-01 00:12:00,221.21,2.38,525.9,5.9928
2026-01-01 00:13:00,210.43,2.1,441.85,6.4346
2026-01-01 00:14:00,211.38,2.24,472.75,6.9074
2026-01-01 00:15:00,217.19,1.68,364.27,7.2717
2026-01-01 00:16:00,214.94,1.17,251.36,7.523
2026-01-01 00:17:00,221.57,2.25,498.9,8.0219
2026-01-01 00:18:00,215.46,0.97,208.63,8.2305
2026-01-01 00:19:00,212.94,1.84,392.09,8.6226
2026-01-01 00:20:00,227.33,2.47,561.64,9.1843
2026-01-01 00:21:00,218.87,2.1,458.74,9.643
2026-01-01 00:22:00,220.34,2.97,655.32,10.2983
2026-01-01 00:23:00,212.88,2.51,534.86,10.8332
2026-01-01 00:24:00,217.28,1.67,363.52,11.1967
2026-01-01 00:25:00,220.55,2.01,444.12,11.6408
2026-01-01 00:26:00,214.25,1.98,423.42,12.0642
2026-01-01 00:27:00,221.88,1.21,268.23,12.3325
2026-01-01 00:28:00,217.0,1.53,331.96,12.6644
2026-01-01 00:29:00,218.54,1.72,375.81,13.0403
2026-01-01 00:30:00,216.99,0.98,213.06,13.2533
2026-01-01 00:31:00,229.26,2.02,463.97,13.7173
2026-01-01 00:32:00,219.93,1.88,412.48,14.1298
2026-01-01 00:33:00,214.71,1.16,249.83,14.3796
2026-01-01 00:34:00,224.11,2.2,493.52,14.8731
2026-01-01 00:35:00,213.9,2.36,504.35,15.3775
2026-01-01 00:36:00,221.04,2.11,467.18,15.8446
2026-01-01 00:37:00,210.2,1.84,386.34,16.231
2026-01-01 00:38:00,213.36,2.3,489.81,16.7208
2026-01-01 00:39:00,220.98,2.34,517.13,17.2379
2026-01-01 00:40:00,223.69,2.15,481.77,17.7197
2026-01-01 00:41:00,220.86,1.59,350.65,18.0703
2026-01-01 00:42:00,219.42,2.14,469.19,18.5395
2026-01-01 00:43:00,218.49,2.6,567.59,19.1071
2026-01-01 00:44:00,212.61,1.7,361.79,19.4689
2026-01-01 00:45:00,216.4,3.05,659.8,20.1287
2026-01-01 00:46:00,217.7,1.74,378.18,20.5069
2026-01-01 00:47:00,225.29,2.02,454.22,20.9611
2026-01-01 00:48:00,221.72,1.66,368.89,21.33
2026-01-01 00:49:00,211.18,2.11,445.95,21.7759
2026-01-01 00:50:00,221.62,1.13,250.18,22.0261
2026-01-01 00:51:00,218.07,1.73,376.61,22.4027
2026-01-01 00:52:00,216.62,1.45,314.95,22.7177
2026-01-01 00:53:00,223.06,2.07,461.21,23.1789
2026-01-01 00:54:00,225.15,2.5,562.26,23.7412
2026-01-01 00:55:00,224.66,2.32,521.88,24.263
2026-01-01 00:56:00,215.8,0.81,175.7,24.4387
2026-01-01 00:57:00,218.45,3.02,659.96,25.0987
2026-01-01 00:58:00,221.66,2.15,476.04,25.5747
2026-01-01 00:59:00,224.88,1.61,362.45,25.9372
2026-01-01 01:00:00,217.6,2.08,452.3,26.3895
2026-01-01 01:01:00,219.07,2.09,457.44,26.8469
2026-01-01 01:02:00,214.47,1.67,357.43,27.2044
2026-01-01 01:03:00,214.02,2.1,449.22,27.6536
2026-01-01 01:04:00,224.06,1.7,380.07,28.0336
2026-01-01 01:05:00,226.78,1.8,407.71,28.4413
2026-01-01 01:06:00,219.64,1.66,363.91,28.8053
2026-01-01 01:07:00,225.02,1.28,288.85,29.0941
2026-01-01 01:08:00,221.81,2.07,459.79,29.5539
2026-01-01 01:09:00,216.77,2.29,496.99,30.0509
2026-01-01 01:10:00,221.81,2.26,500.72,30.5516
2026-01-01 01:11:00,227.69,2.41,548.72,31.1003
2026-01-01 01:12:00,219.82,2.16,475.29,31.5756
2026-01-01 01:13:00,227.82,1.73,394.96,31.9706
2026-01-01 01:14:00,206.9,2.42,500.67,32.4712
2026-01-01 01:15:00,224.11,1.32,296.1,32.7674
2026-01-01 01:16:00,220.44,1.55,341.6,33.109
2026-01-01 01:17:00,218.5,1.52,331.67,33.4406
2026-01-01 01:18:00,220.46,2.54,559.97,34.0006
2026-01-01 01:19:00,210.06,2.47,519.15,34.5197
2026-01-01 01:20:00,218.9,2.24,491.14,35.0109
2026-01-01 01:21:00,221.79,2.54,562.44,35.5733
2026-01-01 01:22:00,227.39,1.56,354.81,35.9281
2026-01-01 01:23:00,217.41,2.17,472.71,36.4008
2026-01-01 01:24:00,215.96,1.94,418.4,36.8192
2026-01-01 01:25:00,217.49,2.42,527.08,37.3463
2026-01-01 01:26:00,224.58,1.94,436.22,37.7825
2026-01-01 01:27:00,221.64,1.81,400.63,38.1832
2026-01-01 01:28:00,217.35,2.27,493.49,38.6766
2026-01-01 01:29:00,222.57,2.44,542.64,39.2193
2026-01-01 01:30:00,220.49,1.67,367.29,39.5866
2026-01-01 01:31:00,224.84,1.97,442.82,40.0294
2026-01-01 01:32:00,216.49,1.47,318.41,40.3478
2026-01-01 01:33:00,218.36,0.75,163.98,40.5118
2026-01-01 01:34:00,218.04,2.1,457.93,40.9697
2026-01-01 01:35:00,212.68,2.3,490.12,41.4598
2026-01-01 01:36:00,221.48,2.13,471.98,41.9318
2026-01-01 01:37:00,221.31,1.03,226.89,42.1587
2026-01-01 01:38:00,220.03,1.82,401.45,42.5602
2026-01-01 01:39:00,218.83,0.89,194.94,42.7551
2026-01-01 01:40:00,212.92,2.68,571.67,43.3268
2026-01-01 01:41:00,217.9,1.46,317.47,43.6442
2026-01-01 01:42:00,218.29,2.63,573.59,44.2178
2026-01-01 01:43:00,215.99,2.47,534.13,44.7519
2026-01-01 01:44:00,219.19,1.55,339.69,45.0916
2026-01-01 01:45:00,222.02,1.43,318.29,45.4099
2026-01-01 01:46:00,229.43,2.18,499.05,45.909
2026-01-01 01:47:00,220.87,1.58,348.5,46.2575
2026-01-01 01:48:00,221.29,2.05,453.91,46.7114
2026-01-01 01:49:00,219.63,1.76,386.23,47.0976
2026-01-01 01:50:00,210.41,1.11,233.43,47.3311
2026-01-01 01:51:00,219.87,0.88,194.53,47.5256
2026-01-01 01:52:00,220.3,2.11,465.57,47.9912
2026-01-01 01:53:00,232.32,1.72,399.4,48.3906
2026-01-01 01:54:00,219.04,1.72,377.5,48.7681
2026-01-01 01:55:00,221.51,2.35,520.09,49.2881
2026-01-01 01:56:00,219.83,2.59,568.63,49.8568
2026-01-01 01:57:00,214.16,1.86,399.13,50.2559
2026-01-01 01:58:00,225.71,1.83,412.99,50.6689
2026-01-01 01:59:00,223.76,2.25,503.48,51.1724
2026-01-01 02:00:00,223.96,1.32,295.96,51.4683
2026-01-01 02:01:00,215.45,2.11,454.95,51.9233
2026-01-01 02:02:00,227.01,2.28,516.67,52.44
2026-01-01 02:03:00,212.99,2.34,498.42,52.9384
2026-01-01 02:04:00,222.93,1.03,229.98,53.1684
2026-01-01 02:05:00,230.95,1.62,373.99,53.5423
